,Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
10,FXL,First Trust Technology AlphaDEX Fund,Equity,"$1,907,834,233.00",13.97%,"322,884",$59.89,1.41%,No,No,3.21%,14.38%,8.32%,101.67%,106.03%,"-$90,118,420.50","$11,527,884.00","-$32,761,502.50","$5,789,523.50","$623,076,337.50","$590,716,776.50",Technology Equities,2007-05-08,0.63%,,$0.17,2018-12-28,$0.06,0.29%,26.11,1.17,92,19.86%,35%,15%,1099.0,$52.03,$59.57,$59.35,$60.22,63.38,B,A-,C+,A-,B+,C+,A-,5.12,28.47%,36.43%,28.69,1.06%,5.79%
11,KWEB,KraneShares CSI China Internet ETF,Equity,"$1,872,614,040.00",15.68%,"2,439,877",$43.38,-0.94%,No,No,1.52%,13.12%,-30.49%,36.61%,37.63%,"$133,114,691.00","$29,701,661.00","$142,179,196.00","$827,865,979.50","$1,946,613,684.00","$2,057,283,184.00",China Equities,2013-07-31,0.70%,,$1.27,2018-12-26,$1.27,2.92%,27.52,1.35,52,59.98%,35%,15%,1099.0,$38.00,$43.82,$43.13,$43.81,58.75,B+,B+,B,B-,A-,B-,,2.59,0.71%,0.27%,22.38,0.03%,1.06%
12,SKYY,First Trust ISE Cloud Computing Index Fund,Equity,"$1,865,293,402.00",10.85%,"330,150",$53.73,0.19%,No,No,1.51%,9.30%,9.92%,99.98%,104.81%,"$83,143,940.50","$23,751,358.50","$80,786,172.50","$247,422,563.50","$770,101,303.03","$1,088,957,182.36",Technology Equities,2011-07-05,0.60%,,$0.46,2018-12-28,$0.28,0.86%,39.7,1.01,29,50.24%,35%,15%,1099.0,$49.46,$54.12,$53.51,$54.00,61.2,B-,B,B,A-,B+,C,B,6.28,76.87%,75.46%,33.59,4.74%,13.01%
13,HACK,ETFMG Prime Cyber Security ETF,Equity,"$1,544,304,145.00",13.47%,"253,823",$38.24,2.00%,No,No,4.91%,13.40%,14.81%,72.47%,,"-$45,158,315.00","-$5,469,300.00","-$40,125,755.00","$175,618,550.00","$280,491,015.00","$1,360,399,800.00",Technology Equities,2014-11-12,0.64%,,$0.06,2018-12-24,$0.03,0.18%,25.88,1.21,53,39.81%,35%,15%,1099.0,$33.78,$37.68,$37.81,$38.51,65.37,,,C,,,,,4.64,13.17%,21.64%,15.54,10.76%,5.25%
14,RYT,Invesco S&P 500® Equal Weight Technology ETF,Equity,"$1,473,935,122.00",11.94%,"107,885",$157.64,1.27%,No,No,2.12%,11.98%,2.37%,89.98%,119.48%,"-$66,423,706.50","-$37,960,310.00","-$52,311,527.50","-$135,221,748.50","$110,912,367.50","$351,911,129.00",Technology Equities,2006-11-07,0.40%,Charles Schwab,$1.37,2018-12-24,$0.42,0.89%,16.92,1.16,69,16.48%,35%,15%,1099.0,$139.88,$157.66,$156.46,$158.41,61.9,A-,B+,A-,A,B+,B,B+,5.87,61.92%,62.02%,39.73,2.60%,6.52%
15,IGM,iShares Expanded Tech Sector ETF,Equity,"$1,469,008,875.00",10.33%,"81,021",$189.45,-0.04%,No,No,1.59%,9.23%,3.38%,87.49%,124.35%,"-$18,154,279.00",$0.00,"-$18,154,279.00","$53,725,062.00","-$75,788,542.50","$21,664,957.50",Technology Equities,2001-03-13,0.47%,,$0.99,2018-12-17,$0.25,0.52%,24.1,1.16,294,50.64%,35%,15%,1099.0,$173.22,$190.25,$188.72,$190.40,58.3,A-,B+,B+,B,A,B+,A,6.17,73.31%,72.06%,23.96,8.76%,5.33%
16,ARKK,ARK Innovation ETF,Equity,"$1,361,790,465.00",15.92%,"368,871",$43.11,0.14%,No,No,1.27%,12.18%,5.79%,158.10%,,"$89,794,215.00","$12,597,920.00","$82,358,727.00","$799,505,986.00","$1,268,481,786.00","$1,272,566,647.50",All Cap Equities,2014-10-31,0.75%,,$0.00,2017-12-27,$0.09,0.00%,40.67,1.56,36,54.68%,35%,15%,1099.0,$39.10,$43.85,$42.72,$43.50,55.9,,,C,,,,,4.14,5.69%,10.66%,21.19,2.35%,10.46%
17,ROBO,ROBO Global Robotics and Automation Index ETF,Equity,"$1,312,077,133.00",12.01%,"345,995",$36.46,-0.05%,No,No,0.83%,11.23%,-19.42%,66.86%,40.53%,"-$33,032,645.00",$0.00,"-$21,560,653.00","-$633,498,268.50","$1,185,796,632.50","$1,213,045,632.50",Global Equities,2013-10-22,0.95%,,$0.12,2018-12-24,$0.12,0.34%,25.95,1.22,88,19.15%,35%,15%,1099.0,$32.77,$36.93,$36.32,$36.60,58.8,,,C,,,,,5.57,44.48%,51.00%,39.42,4.43%,8.09%
18,SOXX,iShares PHLX Semiconductor ETF,Equity,"$1,180,270,460.00",11.38%,"796,998",$174.76,1.20%,No,No,0.56%,12.44%,-3.65%,117.92%,159.06%,"-$20,975,484.50","$58,793,529.50","-$50,011,884.00","-$210,286,135.50","$385,640,185.00","$364,084,625.00",Technology Equities,2001-07-10,0.47%,,$2.15,2018-12-17,$0.34,1.25%,13.29,1.28,31,60.06%,35%,15%,1099.0,$153.81,$175.67,$173.18,$175.97,59.31,B+,A,B+,A,C+,A-,B-,5.49,42.35%,48.27%,89.15,0.00%,5.17%
19,SMH,VanEck Vectors Semiconductor ETF,Equity,"$921,569,517.00",12.08%,"7,549,845",$97.82,1.27%,No,No,0.96%,13.10%,-5.82%,104.32%,155.03%,"$92,483,514.00","-$62,576,274.00","$16,342,548.50","-$47,001,842.50","$590,280,908.05","$443,922,004.87",Technology Equities,2011-12-20,0.35%,,$1.64,2018-12-20,$1.64,1.70%,14.41,1.24,26,62.50%,35%,15%,1099.0,$85.35,$98.21,$96.91,$98.48,59.74,A-,A,A,A-,B,A,C,6.24,75.44%,74.48%,98.67,0.00%,5.31%
20,TDIV,First Trust NASDAQ Technology Dividend Index Fund,Equity,"$886,278,185.00",7.63%,"132,247",$35.69,0.28%,No,No,1.13%,7.73%,-1.00%,61.14%,71.84%,"$6,834,958.50",$0.00,"$1,831,818.00","$45,037,671.00","$196,816,828.50","$368,309,134.00",Technology Equities,2012-08-14,0.50%,,$0.98,2018-12-18,$0.31,2.76%,16.96,1.05,98,58.21%,35%,15%,1099.0,$33.08,$35.89,$35.54,$35.86,58.68,A,A-,B,,A,A,B+,6.54,82.56%,82.84%,45.93,0.85%,5.16%
21,CIBR,First Trust NASDAQ CEA Cybersecurity ETF,Equity,"$745,266,252.00",12.85%,"183,976",$26.43,2.01%,No,No,4.34%,13.14%,8.90%,69.97%,,"-$1,851,296.00","$1,264,141.00","$5,120,548.00","$293,248,243.00","$542,520,008.00","$653,110,192.00",Technology Equities,2015-07-06,0.60%,,$0.05,2018-12-18,$0.04,0.20%,23.58,1.06,38,48.96%,35%,15%,1099.0,$23.34,$26.12,$26.17,$26.58,64.26,,,B,,,,,4.99,24.20%,33.10%,16.3,17.93%,3.43%
22,SOXL,Direxion Daily Semiconductor Bull 3x Shares,Equity,"$562,276,801.00",32.20%,"989,719",$110.15,3.50%,No,3x,1.13%,38.69%,-35.17%,441.96%,573.07%,"-$81,644,892.50","-$11,341,189.50","-$89,898,110.00","-$18,886,063.50","$121,170,675.00","$118,898,201.95",Leveraged Equities,2010-03-11,1.02%,,$1.09,2018-12-27,$0.28,1.02%,14.31,4.03,31,58.74%,35%,15%,1099.0,$76.88,$110.96,$107.30,$112.31,57.74,B,A-,B,C+,C+,,,,,,,,
23,PNQI,Invesco NASDAQ Internet ETF,Equity,"$555,993,812.00",15.03%,"38,481",$126.34,-0.25%,No,No,2.67%,11.75%,-2.96%,77.93%,87.68%,"$6,441,317.00",$0.00,"$6,441,317.00","$30,155,840.50","$99,359,369.00","$44,530,863.00",Large Cap Growth Equities,2008-06-12,0.60%,,$0.00,2017-12-18,$0.03,0.00%,45.46,1.11,92,58.60%,35%,15%,1099.0,$113.14,$126.80,$125.78,$126.94,61.47,B,B,B,A,B,C,A-,3.9,4.98%,7.01%,37.53,7.80%,2.28%
24,TECL,Direxion Daily Technology Bull 3X Shares,Equity,"$555,038,957.00",20.93%,"432,027",$102.79,1.85%,No,3x,2.80%,25.80%,-24.79%,224.77%,391.62%,"$1,942,742.50",$0.00,"-$10,175,441.50","$60,146,582.50","$135,782,962.00","$102,780,380.50",Leveraged Equities,2008-12-17,1.09%,,$0.40,2018-09-25,$0.12,0.39%,17.38,3.38,2,100.00%,35%,15%,1099.0,$80.92,$103.88,$100.66,$104.63,54.32,B+,B+,B+,B,B-,,,,,,,,
25,CQQQ,Invesco China Technology ETF,Equity,"$507,939,286.00",13.36%,"255,698",$44.63,-0.60%,No,No,1.16%,12.11%,-28.92%,46.95%,34.31%,"$10,153,665.50",$0.00,"$4,205,198.00","$183,498,680.00","$545,312,728.00","$516,923,780.50",China Equities,2009-12-08,0.70%,Charles Schwab,$0.17,2018-12-24,$0.17,0.38%,22.9,1.28,72,58.60%,35%,15%,1099.0,$39.67,$45.15,,,58.46,B-,B,C+,A-,C+,A-,B-,3.19,1.07%,1.55%,60.06,0.67%,4.18%
26,ARKW,ARK Web x.0 ETF,Equity,"$467,398,404.00",16.83%,"154,834",$49.56,0.08%,No,No,1.00%,14.04%,10.69%,191.87%,,"$20,636,456.50","$4,879,831.00","$14,268,733.00","$149,255,855.00","$414,269,311.50","$424,676,461.00",All Cap Equities,2014-09-30,0.75%,,$4.94,2018-12-27,$4.94,10.16%,44.26,1.27,36,50.71%,35%,15%,1099.0,$44.06,$50.15,$49.19,$49.86,58.87,,,C,,,,,4.78,16.73%,27.44%,23.11,3.80%,11.04%
27,XNTK,NYSE Technology ETF,Equity,"$382,064,987.00",11.19%,"110,997",$66.19,0.20%,No,No,1.29%,10.15%,-27.14%,38.19%,54.60%,"$9,263,112.50",$0.00,"$4,780,880.75","-$358,119,670.00","-$338,038,420.25","-$338,038,420.25",Technology Equities,2000-09-29,0.35%,,$0.59,2018-12-24,$0.16,0.90%,17.05,1.51,36,32.24%,39%,20%,1099.0,$60.26,$66.34,$65.87,$66.52,46.81,,,,,,,,6.03,69.75%,67.35%,38.15,4.11%,9.26%
28,IPAY,ETFMG Prime Mobile Payments ETF,Equity,"$372,859,695.00",11.70%,"136,406",$39.04,-0.10%,No,No,-1.09%,10.44%,3.77%,80.78%,,"$4,672,390.00","$7,898,660.00","$13,451,840.00","$64,222,650.00","$305,380,470.00","$311,474,420.00",Technology Equities,2015-07-16,0.80%,,$0.23,2018-12-24,$0.23,0.60%,19.49,1.23,40,49.10%,35%,15%,1099.0,$35.37,$40.19,$38.85,$39.17,58.61,,,C,,,,,5.12,27.76%,36.33%,8.56,3.30%,0.80%
29,EMQQ,Emerging Markets Internet & Ecommerce ETF,Equity,"$360,529,278.00",13.67%,"149,611",$30.36,-0.46%,No,No,2.08%,10.16%,-26.76%,46.37%,,$0.00,$0.00,$0.00,"-$27,877,700.00","$392,186,960.50","$403,956,960.50",Emerging Markets Equities,2014-11-12,0.86%,,$0.00,2017-12-26,$0.14,0.00%,0.0,1.27,58,60.63%,35%,15%,1099.0,$27.44,$30.59,,,59.5,B-,B-,C,A,B-,C,C+,3.36,2.14%,2.34%,20.16,0.00%,0.92%
30,PSCT,Invesco S&P SmallCap Information Technology ETF,Equity,"$326,347,854.00",12.62%,"24,844",$77.73,0.17%,No,No,1.89%,12.57%,-0.22%,57.53%,82.12%,"-$32,301,327.00","-$3,793,499.50","-$21,921,358.50","-$119,107,326.00","-$258,946,970.00","-$131,258,386.00",Technology Equities,2010-04-07,0.29%,,$0.32,2018-12-24,$0.07,0.42%,20.05,1.03,91,23.70%,35%,15%,1099.0,$69.01,$78.12,$77.27,$78.05,61.8,A-,B,A,A,B-,A-,A,4.52,11.39%,18.73%,49.13,1.96%,7.15%
31,PSJ,Invesco Dynamic Software ETF,Equity,"$294,849,800.00",13.98%,"72,685",$84.23,0.15%,No,No,3.00%,13.38%,23.31%,116.42%,133.36%,"$27,858,779.50","$4,009,786.00","$27,858,779.50","$118,896,630.50","$113,125,708.00","$149,510,893.00",Technology Equities,2005-06-23,0.63%,,$0.00,2016-12-16,$0.01,0.00%,50.52,1.11,30,46.78%,35%,15%,1099.0,$74.79,$84.33,$83.60,$84.70,62.59,C+,B-,B-,B-,A-,C,C+,5.83,58.72%,60.34%,14.17,0.00%,9.87%
33,ROM,ProShares Ultra Technology,Equity,"$267,954,770.00",18.28%,"84,813",$93.26,0.45%,No,2x,4.05%,18.68%,-7.19%,171.99%,256.58%,"$2,557,355.75","$4,488,927.00","$4,540,894.75","-$20,144,107.75","$232,085,061.25","$163,779,311.25",Leveraged Equities,2007-01-30,0.95%,,$0.24,2018-12-26,$0.14,0.26%,17.8,2.31,151,64.45%,35%,15%,1099.0,$77.45,$93.23,$92.48,$94.23,57.29,B+,B,C,B,B+,,,6.7,0.00%,87.15%,25.38,0.42%,6.88%
34,XSD,SPDR S&P Semiconductor ETF,Equity,"$249,762,398.00",11.93%,"108,048",$72.42,1.05%,No,No,0.46%,13.28%,-0.37%,79.08%,146.95%,"-$12,883,710.00",$0.00,"-$12,883,710.00","-$84,382,527.00","-$84,430,129.50","-$442,810.00",Technology Equities,2006-02-06,0.35%,,$0.75,2018-12-24,$0.21,1.05%,14.23,1.31,36,34.69%,35%,15%,1099.0,$63.66,$73.03,$71.93,$72.87,59.5,B,A-,A-,A-,C,B-,B,4.69,14.23%,25.21%,93.78,0.00%,12.18%
35,PSI,Invesco Dynamic Semiconductors ETF,Equity,"$167,740,396.00",13.00%,"45,906",$50.07,1.23%,No,No,1.29%,14.13%,-5.51%,114.71%,183.56%,"-$11,434,712.50","-$2,422,598.50","-$9,211,537.50","-$210,893,305.00","$17,316,590.00","$54,515,347.50",Technology Equities,2005-06-23,0.61%,,$0.37,2018-12-24,$0.14,0.74%,15.83,1.31,31,47.06%,35%,15%,1099.0,$43.53,$50.39,$49.57,$50.41,60.55,C,C+,B-,B-,C+,C+,C+,4.96,22.06%,32.32%,71.88,0.00%,6.91%
36,IEUS,iShares MSCI Europe Small-Cap ETF,Equity,"$160,059,839.00",8.95%,"31,819",$48.95,-0.41%,No,No,-0.02%,6.58%,-18.11%,24.85%,24.48%,"-$12,120,751.00","-$7,322,262.00","-$12,120,751.00","-$41,652,978.50","$104,358,279.50","$120,081,279.50",Europe Equities,2007-11-12,0.40%,,$1.44,2018-12-18,$0.52,2.93%,12.8,0.9,1024,5.59%,35%,15%,1099.0,$46.31,$49.79,$48.88,$49.09,59.05,A,B-,A-,A-,A-,B,A,5.92,3.86%,63.40%,141.97,3.99%,5.18%
37,SOCL,Global X Social Media Index ETF,Equity,"$137,795,210.00",13.50%,"35,374",$31.27,-0.38%,No,No,2.02%,9.76%,-13.95%,73.96%,49.44%,"-$6,006,767.00","-$1,533,070.50","-$6,006,767.00","-$8,483,238.50","$26,334,034.00","-$8,743,466.00",Large Cap Growth Equities,2011-11-14,0.65%,2 Platforms,$0.00,2017-12-28,$0.49,0.00%,27.88,0.88,39,68.01%,35%,15%,1099.0,$28.40,$31.44,,,60.7,C+,B-,B-,C+,C+,B+,C+,3.21,1.78%,1.60%,18.63,0.00%,1.06%
38,XSW,SPDR S&P Software & Services ETF,Equity,"$128,793,246.00",15.05%,"16,773",$85.76,0.88%,No,No,2.46%,13.32%,15.42%,94.28%,97.26%,"-$11,518,857.00",$0.00,"-$7,777,817.50","$53,036,653.00","$45,364,368.00","$62,064,253.50",Technology Equities,2011-09-28,0.35%,,$0.23,2018-12-24,$0.13,0.27%,23.23,1.12,155,7.86%,35%,15%,1099.0,$75.90,$86.01,$85.29,$86.05,64.49,A,C,A,A,A-,A,A,4.87,18.51%,29.74%,13.1,4.31%,4.96%
39,PTF,Invesco DWA Technology Momentum ETF,Equity,"$124,568,455.00",15.28%,"13,024",$60.72,0.75%,No,No,4.01%,14.80%,7.96%,68.80%,77.58%,"-$5,642,724.00","-$2,895,394.00","-$5,642,724.00","-$1,088,840.50","-$154,971,434.00","$44,165,472.50",Technology Equities,2006-10-12,0.60%,,$0.04,2018-09-24,$0.00,0.07%,40.69,1.21,37,39.03%,35%,15%,1099.0,$52.96,$60.33,$60.15,$61.05,63.54,B,B-,B,B+,B+,B,B+,4.78,17.08%,27.54%,23.88,1.93%,1.09%
40,SOXS,Direxion Daily Semiconductor Bear 3x Shares,Equity,"$121,202,005.00",-33.43%,"5,522,042",$8.78,-3.62%,Yes,3x,-2.66%,-33.08%,-30.35%,-96.32%,-98.84%,"$104,008,025.50","-$1,878,950.50","$94,945,619.50","$84,775,791.50","$195,491,049.69","$222,307,771.29",Leveraged Equities,2010-03-11,1.11%,,$0.10,2018-12-27,$0.06,1.10%,0.0,-3.43,30,60.10%,35%,15%,1099.0,$8.39,$13.40,$8.60,$9.03,39.21,B-,B+,B,B+,C+,,,,,,,,
46,JHMT,John Hancock Multi-Factor Technology ETF,Equity,"$58,536,256.00",11.86%,"5,966",$44.01,0.64%,No,No,2.34%,10.98%,0.42%,82.41%,,"-$5,371,287.90",$0.00,"-$1,190,359.50","-$8,850,298.90","$20,719,209.10","$31,432,171.60",Technology Equities,2015-09-28,0.40%,,$0.37,2018-12-24,$0.24,0.85%,26.07,1.13,136,39.87%,39%,20%,1099.0,$39.39,$44.03,$43.90,$44.15,61.07,,,B,,,,,5.92,64.41%,63.56%,38.01,1.68%,6.56%
48,ITEQ,BlueStar Israel Technology ETF,Equity,"$54,591,775.00",12.03%,"18,084",$35.21,0.57%,No,No,3.96%,11.49%,6.82%,64.90%,,"-$1,650,995.00",$0.00,"-$1,650,995.00","$17,649,715.00","$45,447,330.00","$45,447,330.00",Technology Equities,2015-11-03,0.75%,,$0.09,2018-12-24,$0.09,0.27%,20.79,1.06,58,53.28%,39%,20%,1099.0,$31.40,$35.00,$35.12,$35.28,66.61,,,C,,,,,,,,,,
49,PXQ,Invesco Dynamic Networking ETF,Equity,"$53,908,780.00",11.43%,"10,463",$53.90,1.03%,No,No,3.97%,12.57%,12.22%,81.66%,71.98%,"-$4,818,612.00",$0.00,"-$2,396,837.50","$1,485,941.00","$19,157,008.50","$7,620,027.00",Technology Equities,2005-06-23,0.63%,,$0.59,2018-12-24,$0.35,1.12%,35.32,1.12,29,48.08%,35%,15%,1099.0,$47.91,$53.57,$53.60,$54.13,63.77,C+,B-,B-,B-,B,C+,B-,5.25,33.10%,40.32%,22.65,0.00%,7.38%
50,ISRA,VanEck Vectors Israel ETF,Equity,"$51,356,803.00",11.31%,"5,461",$31.19,0.35%,No,No,3.12%,9.19%,-1.03%,20.50%,11.31%,$0.00,$0.00,$0.00,"$7,806,478.50","$2,622,708.00","$19,071,296.00",All Cap Equities,2013-06-25,0.59%,,$0.21,2018-12-20,$0.21,0.68%,15.09,0.94,126,50.46%,35%,15%,1099.0,$28.40,$31.15,$31.10,$31.30,62.23,B-,B,C+,,A,B-,B-,4.56,2.75%,19.49%,64.96,2.07%,4.14%
51,IGN,iShares North American Tech-Multimedia Networking ETF,Equity,"$51,308,523.00",8.59%,"16,897",$51.31,0.49%,No,No,0.81%,8.02%,1.81%,59.44%,58.75%,"-$2,369,840.00",$0.00,$0.00,"-$4,212,322.50","-$28,792,933.50","-$222,400,433.50",Communications Equities,2001-07-10,0.47%,,$0.31,2018-12-17,$0.04,0.60%,17.95,0.98,22,65.06%,35%,15%,1099.0,$48.02,$51.54,$51.13,$51.47,57.77,B,B+,B+,B+,B,A,C,5.06,27.91%,34.72%,16.5,5.25%,2.87%
54,USD,ProShares Ultra Semiconductors,Equity,"$44,324,727.00",17.02%,"34,671",$34.65,2.73%,No,2x,0.00%,19.20%,-23.38%,194.52%,319.20%,$0.00,$0.00,$0.00,"-$25,362,413.00","$20,075,515.50","-$2,037,984.50",Leveraged Equities,2007-01-30,0.95%,,$0.28,2018-12-26,$0.12,0.81%,13.33,2.42,33,80.68%,35%,15%,1099.0,$29.13,$34.96,$34.02,$35.05,55.8,B,B-,C,B-,B,,,5.94,0.00%,64.00%,70.16,0.00%,5.68%
57,TECS,Direxion Daily Technology Bear 3X Shares,Equity,"$36,510,971.00",-22.42%,"615,303",$21.46,-1.69%,Yes,3x,-3.90%,-22.44%,-22.21%,-87.06%,-95.15%,"$8,302,103.50","$1,086,923.00","$3,529,514.50","$6,463,527.11","$42,716,721.11","$56,968,601.35",Leveraged Equities,2008-12-17,1.10%,,$0.20,2018-12-27,$0.08,0.91%,0.0,-2.82,1,100.00%,35%,15%,1099.0,$20.88,$27.77,$21.08,$21.85,42.17,B,B+,B,B,B-,,,,,,,,
