,Date,BJK,CARZ,CHIQ,FDIS,FXD,INCO,IYC,JHMC,PBS,PEJ,PEZ,PMR,PSCD,RCD,RETL,RTH,RXI,SCC,UCC,VCR,WBIA,XLY
59,2010-02-01,17.871907999999998,,13.974307999999999,,14.466117,,51.567482,,11.568096,13.392814000000001,19.715956,14.716071,,33.665176,,28.707233000000002,38.284328,560.819153,8.608497,42.940701000000004,,30.52
60,2010-03-01,19.664414999999998,,14.876706,,15.81505,,55.381907999999996,,12.336771,14.807548,21.126942,15.889745000000001,,36.470612,,30.122814,41.295658,480.950134,10.010795,46.550938,,32.84
61,2010-04-01,20.461931,,14.859520000000002,,16.643015,,57.528374,,13.001064,15.609228,22.481113,16.909939,25.007463,38.60033,,31.091046999999996,42.519562,443.856812,10.768359,49.476501,,34.82
62,2010-05-01,18.244083,,13.415679999999998,,15.415022,,54.225178,,11.957180000000001,14.722663,21.212166,15.889745000000001,23.542435,35.755531,,29.204687,38.979935,489.78936799999997,9.419538000000001,45.919594000000004,,32.369999
63,2010-06-01,17.256685,,13.991497,,13.693973000000002,,48.801739000000005,,10.695032000000001,13.091003,18.750038,14.002839999999999,20.399117,31.675032,,25.861967,36.320801,582.443726,7.6811169999999995,41.304512,,29.129998999999998
64,2010-07-01,19.315031,,14.902492,,14.852232,,52.282394000000004,,11.501667,13.936669,20.11595,14.972767000000001,21.919777,34.254063,2.913063,26.928965,39.867515999999995,505.57372999999995,8.70924,44.621326,,31.440001000000002
65,2010-08-01,19.223885,,15.375175,,14.013123,,50.130184,,10.40085,13.351648999999998,18.63781,14.121839999999999,19.546057,32.097599,2.9221779999999997,26.220476,38.095627,543.614075,7.974226,42.487179,,30.190001000000002
66,2010-09-01,21.206278,,17.515152,,15.924426,,55.747837,,11.662994,15.276551999999999,21.158224,15.78749,22.401937,36.517475,3.696212,29.766312,42.879734,432.3341980000001,9.851234,47.769184,,33.41
67,2010-10-01,23.712751,,17.652664,,16.828802,,58.737143999999994,,12.390400999999999,16.446402,22.304126999999998,16.189756,23.180815,37.843379999999996,3.794564,29.871836,44.908546,389.874237,10.829087,50.356842,,35.259997999999996
68,2010-11-01,23.295006,,16.73307,,17.60265,,59.962742000000006,,12.475983,17.10804,23.660776000000002,17.558538000000002,24.970373000000002,39.06673,4.185198000000001,31.011478000000004,45.448971,370.459412,11.379424,52.010796,,36.150002
69,2010-12-01,23.917822,,15.547061,,18.441753,,61.883461,,13.236713,17.457762,24.116154,17.631062,25.971785999999998,40.950874,4.397989,32.10318,47.318317,344.257385,12.142004,53.771465,,37.41
70,2011-01-01,25.060522,,15.236744,,18.293961,,62.074062,,13.218706,17.496445,23.781349,17.222267000000002,24.940552,40.876293,4.280744,31.744411,47.8633,343.310333,12.080307000000001,53.780395999999996,,37.18
71,2011-02-01,24.826527,,14.446235999999999,,19.284843,,64.993263,,14.563464000000002,17.886314000000002,24.563254999999998,18.288969,25.898739000000003,43.064964,4.358383,32.109219,49.823093,310.636627,13.185920000000001,56.770687,,39.41
72,2011-03-01,25.122917,,15.010883999999999,,19.724197,,64.81881700000001,,14.47763,18.2001,24.992348,18.635422,26.401081,43.181583,4.40835,31.949715,48.736298,307.953308,13.106947,56.698848999999996,,39.049999
73,2011-04-01,27.540834000000004,,16.035929,,20.556164000000003,,67.642487,,14.89727,18.409306,26.279627,20.039457000000002,27.427469,45.130367,4.856484,33.405956,51.141483,283.645325,14.306342,58.979729000000006,,40.549999
74,2011-05-01,26.831059999999997,26.536732,15.975122,,20.574862,,67.771309,,14.773285000000001,18.846716,26.022179,19.711243,27.706583000000002,44.923595,4.762702,33.366764,50.776257,280.961945,14.289064999999999,58.827065000000005,,40.439999
75,2011-06-01,27.088448,27.353245,15.949062,,20.481382,,67.11805,,14.449016,18.751627,25.94589,19.346554,27.371651,44.590958,4.624341,32.748985,50.624821000000004,281.909058,14.020064999999999,58.737269999999995,,40.209998999999996
76,2011-07-01,28.328604,27.042696000000003,16.009871,,20.008343,,66.136208,,13.862283999999999,18.316881,25.515863,19.008298999999997,27.055969,44.241474,4.662776999999999,32.724861,49.97588,289.327698,13.531424,57.650707,,39.650002
77,2011-08-01,26.152476999999998,22.740044,14.507045999999999,,18.379210999999998,20.109659,63.03736899999999,,12.629017,17.630714,23.785492,18.173883,24.438852,41.02343,4.2892019999999995,31.413335999999997,45.930344,299.745392,12.077838,54.148563,,37.57
78,2011-09-01,21.667639,19.957542,11.023617999999999,,16.834345000000003,17.787781,58.997822,,11.233229,15.410196,21.710957,17.431156,22.045261,37.769314,4.141617,30.870642,42.289359999999995,332.734711,10.757517,50.071712,,34.860001000000004
79,2011-10-01,25.458303,23.228987,12.891291,,19.35294,20.149521,65.273674,,12.730703,17.606426000000003,24.691082,19.747132999999998,25.355431,43.354824,4.765783,33.038429,46.685520000000004,268.018799,12.761442,56.564152,,39.02
80,2011-11-01,24.842126999999998,20.979866,12.734927,,18.650732,16.910849,65.24593399999999,,12.280822,17.406143,23.753204,19.545071,24.591042,42.568695,4.784997,33.710770000000004,45.615696,262.65213,12.70468,55.773918,,38.740002000000004
81,2011-12-01,23.453775,20.304245,11.909677,,18.575823,15.984092,66.06002,,12.682843,17.825789999999998,24.423115,20.169634,25.262210999999997,42.758438,4.5436309999999995,33.680626000000004,44.905479,251.603027,13.062525,55.504528,,39.02
82,2012-01-01,26.189138,23.147039000000003,12.725204,,19.595963,18.296003,69.49269100000001,,13.407907000000002,18.788406,25.677521,21.226841,27.448612,45.489731,5.414907,35.217987,48.89185,228.242157,14.224901999999998,59.923153000000006,,41.32
83,2012-02-01,27.457129,24.748913,13.536335000000001,,20.875395,19.730984,72.305832,,14.117621,19.793903,27.407296999999996,22.535662,28.804678000000003,47.976116,5.951484,36.171203999999996,51.737446000000006,209.774429,15.421823999999999,63.13738299999999,,43.189999
84,2012-03-01,28.573596999999996,24.873501,12.99558,,21.496296,18.953705,75.193237,,14.539619,20.962193,28.435553000000002,23.604841,29.983048999999998,49.727463,7.082644999999999,37.908722,53.504619999999996,191.306717,16.858137,65.74155400000001,,45.09
85,2012-04-01,29.235498,24.295048,13.152574,,21.261105,19.093216,76.323723,,14.263306,21.287777,28.656576,23.933935,29.663028999999998,49.938957,7.44278,38.325008000000004,53.169307999999994,185.940033,17.102455,66.215065,,45.610001000000004
86,2012-05-01,25.431535999999998,21.85664,11.748353,,19.558335999999997,16.372729999999997,73.31732199999999,,13.476232999999999,20.521687,26.974853999999997,22.809151,28.100344,46.873501,6.900567,37.112362,49.064021999999994,199.90919499999998,15.848768,62.2906,,43.099998
87,2012-06-01,25.503308999999998,21.509570999999998,11.530306,,19.323145,17.847572,75.588402,,14.100132,20.761093,26.917192,22.597101000000002,28.315563,47.428375,7.331598,38.243553000000006,49.997459,184.756195,16.798904,63.13738299999999,,43.779999
88,2012-07-01,23.99608,21.10815,10.780227,,19.368813,18.096698999999997,76.108498,,14.471047,20.400888000000002,27.167092999999998,22.679689,28.379042,47.037739,7.831116000000001,38.804638,50.231678,179.744644,17.013613,63.06456800000001,,43.540001000000004
89,2012-08-01,25.726601000000002,21.582388,11.024439,,20.379279999999998,18.973635,78.628006,,15.279273000000002,20.88113,28.505234,23.475136,29.962427,49.31155,8.813227000000001,40.116828999999996,52.113075,169.800476,18.136503,66.196846,,45.549999
90,2012-09-01,27.122187,21.734503,11.608804,,20.813688,21.743942,80.73696899999999,,15.93355,21.947281,28.880679999999998,23.345654,31.002401000000003,50.61739,9.071043,40.632652,53.008120999999996,159.73793,19.037279,68.272888,,46.790001000000004
91,2012-10-01,27.520926,22.391865,12.280388,,21.012003,21.534676,79.870544,,15.708732999999999,21.445175,28.322649,23.48959,30.125351000000002,50.330383000000005,8.845459,40.32497,52.807193999999996,163.013199,18.504220999999998,67.69014,,46.07
92,2012-11-01,28.549671000000004,24.120518,12.454823,,21.550283,23.996064999999998,81.891624,,15.747283,21.752903,28.968536,24.054379,30.697294,51.70454,9.46663,41.112278,55.190914,154.410736,19.496305,69.556763,,47.529999
93,2012-12-01,28.270553999999997,26.082039,12.969415,,21.342527,24.235228,81.217934,,16.084587,22.070257,28.669689,23.350706,30.922309999999996,51.686214,7.997088000000001,39.664352,56.35994,153.897736,19.358099,69.083282,,47.439999
94,2013-01-01,32.247516999999995,27.310510999999998,13.345923,,23.177162,23.896414,86.96736899999999,,16.842367000000003,23.814425,30.443714,24.735495,33.37545,55.837975,9.473069,42.596287,59.688697999999995,135.15377800000002,21.950714,74.371025,,50.130001
95,2013-02-01,31.766951000000002,27.481084999999997,12.684361,,23.492168,21.664225,87.68390699999999,,17.500195,24.074741,30.871134,24.8298,33.29034,56.05921899999999,9.744586,42.937569,59.9095,132.15473899999998,22.487427,74.879425,,50.93
96,2013-03-01,33.192074,27.05015,12.393272,,24.523117000000003,21.933281,92.030388,,18.97064,25.607733,32.337952,26.272627000000004,34.822037,58.834064,10.702525,45.142097,61.859863,118.974777,24.609537,78.410332,,53.0
97,2013-04-01,34.973476,28.908556,12.649077,,25.146872000000002,23.84659,94.419579,,19.460482,26.268688,33.09626,27.455238,35.927517,60.829223999999996,11.744258,46.627155,64.288635,112.818863,25.741449,80.813568,,54.610001000000004
98,2013-05-01,34.724911,31.646788,12.799032,,26.197445000000002,23.467914999999998,96.65888199999999,,20.002394,27.358801,35.156890999999995,29.165293,38.291794,62.936023999999996,12.776321000000001,47.983082,65.89862099999999,104.334763,27.210627000000002,83.577301,,56.119999
99,2013-06-01,33.415787,30.614344,11.890485,,25.910926999999997,20.667707,96.895103,,20.292706,26.972914000000003,34.943042999999996,28.664558000000003,38.358002,63.130069999999996,12.802909,47.853943,64.969437,104.532059,27.302288,84.242805,,56.400002
100,2013-07-01,34.749763,32.837967,12.322706,,27.578328999999997,21.036419,102.560364,,21.580866,28.840190999999997,37.49765,31.276089000000002,40.429192,67.110176,15.08215,51.073109,69.67955,93.60137900000001,30.666763,88.762749,,59.369999
101,2013-08-01,35.611465,32.675270000000005,12.622617,,26.861137,18.066803,98.679085,,21.115510999999998,28.724283000000003,36.942188,29.560637,39.357521000000006,65.035278,12.935844,48.86858,67.489311,100.42813100000001,28.298252,86.387245,,57.68
102,2013-09-01,39.281985999999996,35.124786,13.451773000000001,,28.352898,20.876976000000003,104.103386,,22.560057,30.385541999999997,38.647529999999996,31.721536999999998,41.481884,67.962372,14.731685,51.063889,72.389534,90.089363,31.092896999999997,91.34162099999999,,60.630001
103,2013-10-01,41.204243,35.85693,13.901635999999998,23.868765,29.445045,22.421574,109.540024,,23.361755,31.997389000000002,39.715893,32.971569,43.115437,70.878502,17.358974,54.615111999999996,75.015968,80.184662,34.571342,95.177559,,63.41
104,2013-11-01,41.510807,36.110012,14.439707,24.699875,30.382849,21.674187,113.344101,,24.428946,32.094051,40.242451,33.417767,45.819038,73.032227,19.338509,56.330769,77.01132199999999,74.699585,36.815975,98.505112,,65.599998
105,2013-12-01,44.245059999999995,35.884040999999996,13.928098,25.213482,30.861320000000003,22.252164999999998,115.156006,,25.835695,32.973743,40.16444,33.123474,46.568459000000004,74.350464,19.002544,56.127842,78.032211,71.976784,38.322311,99.882362,,66.83000200000001
106,2014-01-01,43.200901,34.197369,12.94862,23.815826,29.161797999999997,21.275581,110.209084,,24.33452,31.404541,38.401096,29.798388,42.920238,69.828972,14.84045,53.068923999999996,74.09229300000001,78.527298,34.595661,94.966522,,62.82
107,2014-02-01,45.971046,36.098728,13.331557,25.370457000000002,31.413858,21.943247,117.324234,,25.664865,34.126521999999994,41.252125,31.623928000000003,45.827824,75.50766,17.371060999999997,56.441639,78.206467,69.253967,38.676528999999995,101.21309699999999,,66.839996
108,2014-03-01,43.159054,37.302921000000005,12.939714,24.668058,30.685534999999998,24.813208,114.41348300000001,,24.130602,33.099728000000006,39.865662,31.528856,45.875328,73.264099,16.046537,55.33293199999999,76.57384499999999,71.89785,37.258389,98.63987,,64.720001
109,2014-04-01,41.803272,35.802402,12.4321,24.262453,30.034121999999996,23.896414,113.195679,,23.132757,31.307672999999998,38.77644,31.519575,44.074104,72.119759,14.954049,54.652798,75.780869,73.318451,36.029156,96.9617,,63.84
110,2014-05-01,41.878593,36.490906,12.423195,24.873009,30.849228000000004,26.557108000000003,116.293663,,23.521379,32.140743,40.515469,32.205608000000005,44.026546,73.72592900000001,14.879122,55.15590699999999,77.870613,69.293442,37.878708,99.273865,,65.68
111,2014-06-01,42.221725,36.943874,12.823942,25.464775,31.884890000000002,28.03195,117.69490800000001,,24.609522,32.98349,41.746468,32.291367,45.605381,75.341484,15.652566,55.239761,78.449013,66.649551,39.123318,101.791145,,66.739998
112,2014-07-01,42.297043,36.352612,13.082202,25.053776,30.95986,27.772856,116.864052,,24.523476000000002,32.184769,40.207325,31.405184000000002,42.637943,74.601768,14.992721,55.03479399999999,77.133705,67.51769300000001,38.491608,99.84258299999999,,65.889999
113,2014-08-01,39.96209,36.288582,12.966433,26.117689000000002,32.390694,30.084770000000002,121.517578,,24.640251,32.74754,42.25972,32.660225,44.30534,77.926773,18.652077,58.249115,78.857826,62.46669,41.398323,104.196533,24.609642,68.82
114,2014-09-01,36.32156,34.550529,12.147122999999999,25.355059,31.123108000000002,30.9617,118.918465,,24.05636,32.446743,39.943432,31.520144000000002,42.266346,75.154381,18.057491,58.118679,76.12561,64.202972,39.895367,101.15715,24.257514999999998,66.690002
115,2014-10-01,38.146008,33.993843,12.298519,25.972424,31.959134999999996,31.898424,122.190025,,24.308046,33.256691,40.901222,33.186787,45.112484,77.621185,18.917946,59.96341700000001,77.689575,60.454181999999996,41.783062,103.73037,24.831097,68.099998
116,2014-11-01,36.974346000000004,35.457916,12.120407,27.444159999999997,34.05513,32.645813000000004,129.935822,,25.096889,33.956421,43.295677000000005,35.757328,48.394791,82.260071,24.005755999999998,65.329948,81.392212,55.126953,47.275093,109.548065,25.240213,71.809998
117,2014-12-01,32.195633,34.1311,11.238761,27.566801,34.420494,32.187408000000005,131.89858999999998,,24.911854,34.724185999999996,43.647521999999995,37.435837,48.385246,83.199097,25.221514000000003,66.755424,80.21453100000001,50.312714,48.837864,108.97001599999999,24.615767,72.150002
118,2015-01-01,32.850918,34.445419,11.534624,26.788681,33.370232,36.063435,129.44278,,23.922306,34.599308,42.635769,36.409821,48.368675,80.56089,25.429377,67.405548,80.21615600000001,52.483067000000005,46.729904,106.93856000000001,23.66856,69.989998
119,2015-02-01,33.896172,37.242275,11.789132,29.022647999999997,35.548023,36.921139000000004,138.595535,,26.020757999999997,36.916965000000005,45.158703,38.561752,50.962246,86.332024,30.64045,71.615463,86.623207,46.011471,53.155205,115.747795,25.157028,75.970001
120,2015-03-01,32.200924,37.187069,12.416310000000001,28.899590999999997,35.943104,35.574745,138.346069,,26.137878,37.306492,46.361507,39.839458,52.148979,86.27552800000001,31.157690000000002,72.485512,85.873337,44.985489,53.681538,115.64396699999999,24.426502,75.349998
121,2015-04-01,32.736725,37.915890000000005,13.943351999999999,28.803154,34.950066,32.672515999999995,137.319717,,26.139875,35.519665,45.080006,36.935608,49.864937,84.390671,29.091147999999997,70.081177,86.945915,46.524467,51.675156,115.077431,24.794703,75.309998
122,2015-05-01,32.446865,37.833003999999995,14.343291,29.249199,35.297534999999996,34.467709,138.772797,,26.775764000000002,35.754112,45.472435,37.099109999999996,50.824436,85.419815,29.777578000000002,70.717331,87.733757,44.827644,53.389214,116.729767,25.19228,76.300003
123,2015-06-01,30.830669,36.009491,13.325264,29.306140999999997,35.239616,34.168507,137.723892,,26.335533,35.783428,45.97279,37.541569,52.551517000000004,85.372612,29.439197999999998,69.847298,86.65168,45.991737,52.231602,117.28683500000001,24.716364000000002,76.480003
124,2015-07-01,32.719162,34.764465,12.116356,30.561712,36.066604999999996,36.053463,145.03268400000002,,26.710736999999998,36.906837,47.792088,38.236022999999996,52.16478,87.481628,35.665413,73.739136,89.45914499999999,42.124569,57.571186,121.90391499999998,23.983938000000002,80.220001
125,2015-08-01,28.994883,32.406597,10.562043,28.639112,34.111828,32.084091,135.043747,,23.767946,34.659996,45.130417,36.414349,48.883423,82.520042,31.392141,70.015686,83.736588,50.687595,49.933121,114.69032299999999,21.525803,74.980003
126,2015-09-01,25.999654999999997,30.902777,10.916536,28.068045,33.163478999999995,31.256308,132.66223100000002,,23.483477,34.816299,44.550940999999995,35.20953,46.092834,79.77409399999999,29.777578000000002,68.799492,81.539284,48.536976,47.691895,111.262932,21.425911,74.239998
127,2015-10-01,29.565825,34.386536,12.479937,30.390321999999998,34.655338,31.725052,142.973175,25.189595999999998,25.934313,37.613392,45.850651,36.389998999999996,47.793552000000005,85.73485600000001,35.462391,72.036461,88.484703,41.02953,55.732482999999995,121.04798100000001,22.123198000000002,80.970001
128,2015-11-01,28.257053000000003,34.683937,12.03455,30.208857000000002,34.180202,31.735025,141.648636,24.816629000000002,25.728170000000002,36.410472999999996,44.553265,36.544518,46.464073,83.93940699999999,37.19297,72.9907,88.026131,40.990063,54.53484,120.485603,22.610905,80.779999
129,2015-12-01,27.870575,33.661636,11.052878999999999,29.301544,33.065102,32.024254,139.85034199999998,24.214142000000002,24.677841,35.950809,43.285378,35.936085,44.238647,80.453018,36.390522,72.710045,85.045425,42.085106,53.014182999999996,116.815727,22.148360999999998,78.160004
130,2016-01-01,28.151276,30.014134999999996,9.844046,27.715785999999998,31.353018,29.042236,132.741501,22.283929999999998,23.341583,32.589779,39.991341,33.417145,42.350986,76.801727,30.734720000000003,70.27716099999999,80.611397,47.846405,46.996132,110.45041699999999,20.911476,74.110001
131,2016-02-01,28.563513,28.659622,9.872634,28.022463000000002,32.130531,27.35675,133.92408799999998,23.287859,22.690466,34.116512,40.886596999999995,33.852764,44.225947999999995,79.19581600000001,29.680901000000002,70.152748,79.62260400000001,43.495838,48.771167999999996,111.541252,20.528408,74.440002
132,2016-03-01,31.174353000000004,31.321943,10.682648,29.737928000000004,34.190922,31.106709000000002,141.339539,24.870939,24.042026999999997,36.181511,43.139492,36.205135,47.222023,84.670753,36.110146,73.827377,85.08500699999999,39.668125,53.405148,118.708122,21.088274,79.099998
133,2016-04-01,29.708617999999998,30.598523999999998,10.873239,29.836873999999998,33.750671000000004,31.256308,140.23599199999998,24.441370000000003,24.781933,34.922043,41.526066,34.567551,46.415802,82.86412,35.733096999999994,72.84174300000001,84.71060200000001,40.033142,52.248886,119.04063400000001,20.804410999999998,79.199997
134,2016-05-01,30.615540000000003,30.879339,10.444408000000001,29.77914,33.175823,32.143932,140.760803,24.153709,24.900318,34.315044,41.250599,33.627792,45.835613,81.877083,37.763386,73.310631,84.691414,40.338955,52.497684,118.848526,21.402588,79.239998
135,2016-06-01,28.765051,27.874709999999997,10.263347,29.317296999999996,32.854298,33.280884,139.39048799999998,23.7414,24.219604,32.87587,40.650482000000004,33.608425,45.912968,80.410881,37.366993,74.028336,81.00499,41.700363,51.422852,117.15811200000002,21.188461,78.059998
