,Date,AMJ,AMLP,AMU,AMUB,AMZA,ATMP,CRAK,DDG,DIG,DRIP,DUG,ENFR,ENY,ERY,FAN,FCG,FENY,FILL,FRAK,FXN,GASL,GEX,GREK,GRID,GUSH,ICLN,IEO,IEZ,IMLP,IXC,IYE,KOL,MLPA,MLPB,MLPC,MLPG,MLPI,MLPO,MLPY,NLR,OIH,PBD,PBW,PSCE,PUW,PXE,PXI,PXJ,PZD,QCLN,RYE,TAN,VDE,XES,XLE,XOP,YLCO,YMLI,YMLP,ZMLP
34,2008-01-01,,,,,,,,,73.774323,,696.900085,,16.123732,,,96.487648,,,,18.90587,,121.706978,,,,,56.069614,48.093769,,31.142115000000004,32.333709999999996,31.140109999999996,,,,,,,,62.763279000000004,42.813114,22.268229,90.573441,,23.825922,18.310329,29.058352000000003,21.635158999999998,28.490953,22.362387,52.20108,,79.44512900000001,31.33502,54.26054,43.262446999999995,,,,
35,2008-02-01,,,,,,,,,84.856483,,574.182434,,18.208347,,,108.582748,,,,21.144955,,119.48159799999999,,,,,63.693206999999994,53.973659999999995,,33.241768,35.146931,32.76683,,,,,,,,66.115677,47.943481,21.749348,86.08631899999999,,24.169783,19.976368,31.831402,23.967195999999998,28.82548,21.271082,57.653385,,86.333229,34.891529,59.288998,49.061989000000004,,,,
36,2008-03-01,,,,,,,,,76.719803,,597.298645,,17.122192000000002,,,106.809395,,,,20.39558,,127.03199,,,,,62.576874,54.035187,,32.188221,34.354206,29.552124,,,,,,,,59.13316700000001,48.152462,22.488098,81.432999,,23.581595999999998,19.539637,31.388797999999998,23.839664000000003,28.583878000000002,21.59095,56.243007999999996,,84.18412,35.250778000000004,57.737553000000005,48.404587,,,,
37,2008-04-01,,,,,,,,,98.16999100000001,,485.413116,,19.361969000000002,,,120.223099,,,,22.697865,,137.76148999999998,,,,,68.157219,60.646667,,36.258334999999995,38.182423,34.401306,,,,,,,,62.148346,53.468810999999995,24.167892000000002,87.291199,,25.504087,21.593348000000002,34.997128000000004,26.536089,31.260134000000004,23.594808999999998,61.582901,194.909821,93.52044699999999,39.393359999999994,63.91626,53.065186,,,,
38,2008-05-01,,,,,,,,,104.38784799999999,,447.64321900000004,,21.392616,,,133.818649,,,,25.126558,,147.060394,,,,,73.859718,65.639038,,38.241219,39.613853000000006,41.984928000000004,,,,,,,,71.035172,58.284027,25.671787,93.274017,,27.803711,23.656399,38.583565,29.341825,33.797001,25.692749,66.42139399999999,207.28741499999998,98.37751,43.231125,67.239136,58.36359,,,,
39,2008-06-01,,,,,,,,51.159184,109.688965,,415.15802,,21.642232999999997,,22.982338000000002,143.230972,,,,26.814901000000003,,135.721573,,,,38.764191,78.245529,69.80516800000001,,37.918182,40.531535999999996,44.928515999999995,,,,,,,,67.861305,61.234039,24.097535999999998,81.225258,,26.518099,25.412022,40.887203,30.553394,30.860546000000003,23.256135999999998,69.503548,192.37463400000001,101.762512,45.945431,69.178116,63.328609,,,,
40,2008-07-01,,,,,,,,58.638771,78.853691,,549.858154,,18.543867000000002,,22.004198000000002,112.31233999999999,,,,21.514204,,131.217834,,,,37.75362,60.773922,60.368522999999996,,32.970078,34.803740999999995,38.127266,,,,,,,,60.541561,53.26769300000001,22.813507,79.10633100000001,,25.316565,20.129181,34.631336,26.593947999999997,30.200784999999996,22.051928,57.352627000000005,175.97061200000002,87.06532299999999,38.955535999999995,58.323292,48.769034999999995,,,,
41,2008-08-01,,,,,,,,58.87086899999999,77.70089,,538.804932,,18.577787,,20.676153,111.219749,,,,21.252275,,139.404068,,,,38.67934,61.373394,58.18800400000001,,32.66946,34.70718,35.152695,,,,,,,,57.764435,50.822146999999994,22.637608,82.222404,,24.82744,19.821495000000002,34.414051,25.646441,30.284412,23.528955,56.800999,195.95369,86.474907,37.533722,58.519259999999996,49.62574,,,,
42,2008-09-01,,,,,,,,65.257347,56.505607999999995,,604.812805,,14.011376,,15.332165,90.915192,,,,16.212425,,101.360672,,,,28.141645,50.728176,45.500572,,28.340590999999996,30.217964000000002,22.805096,,,,,,,,44.57304,40.541946,16.859482,61.739520999999996,,19.918114000000003,16.728439,28.11249,19.815638,23.788921,17.827818,44.044487,133.76748700000002,73.39151,29.34487,49.621826,40.427444,,,,
43,2008-10-01,,,,,,,,71.93418100000001,32.224083,,608.5769650000001,,10.072617999999999,,9.670078,67.97015400000001,,,,11.92223,,61.330353,,,,16.963673,39.552710999999995,30.124291999999997,,23.290239,24.56859,14.106004,,,,,,,,33.325634,27.235271,10.967018,41.048889,,14.743273,12.914741000000001,21.129133,13.520185999999999,16.642951999999998,11.853852,34.26458,77.546371,58.678562,19.446598,40.423168,30.710359999999998,,,,
44,2008-11-01,,,,,,,,68.175415,29.528149,,499.34521500000005,,8.731894,29135.269531,9.47922,59.456814,,,,10.269371000000001,,55.634453,,,,14.788248999999999,36.861309000000006,26.061998000000003,,22.876892,23.963451,10.720875,,,,,,,,33.940567,23.859389999999998,9.735754,35.273785,,12.648747,11.489668,18.20133,11.470292,15.109685,9.802949,32.45118,60.023869,57.025425,16.780457000000002,39.542347,28.064628999999996,,,,
45,2008-12-01,,,,,,,,51.137192,26.224051,,411.302734,,7.645567,27689.626952999995,9.956361,53.629493999999994,,,,10.314532,,61.860218,,,,16.500822,34.979156,23.318638,,21.990070000000003,22.858067000000002,11.534234,,,,,,,,39.018761,20.448042,11.12532,35.813908000000005,,13.510132999999998,11.262948,17.358337,10.15836,16.856679999999997,10.621429,30.283734999999997,65.39245600000001,53.02639,15.402345,37.568375,26.764340999999998,,,,
46,2009-01-01,,,,,,,,67.68004599999999,24.472147,,492.39703399999996,,7.9859800000000005,26770.349609,9.001516,53.886292000000005,,,,9.805895,,55.461102000000004,,,,15.636814000000001,34.927387,23.381404999999997,,21.122583,22.510315,10.519059,,,,,,,,37.253296,21.373348,10.010311999999999,32.656296000000005,,12.510525,11.040788000000001,17.186115,10.298377,15.360582999999998,10.263931,30.505337,54.142811,52.960483999999994,15.856742,37.091324,27.08725,,,,
47,2009-02-01,,,,,,,,74.369293,18.925972,,607.5287480000001,,6.433153,36052.117188,7.932187,45.748169,,,,8.494223,,44.555523,,,,11.74883,29.803597999999997,21.504904,,19.180195,19.853466,9.708101,,,,,,,,31.778374,20.303686,8.591596000000001,27.130490999999996,,11.701928,9.155973,15.110369,9.173418,13.66934,8.62697,26.909838,39.953666999999996,46.484695,14.744776000000002,32.514198,23.555313,,,,
48,2009-03-01,,,,,,,,71.368599,19.479687,,526.657654,,6.984156,27949.101563,8.434932,45.748169,,,,8.693234,,49.168396,,,,13.499967999999999,31.216749,22.183262,,20.185667000000002,20.525778,10.636024,,,,,,,,34.317467,20.703646,9.516849,31.576065000000003,,12.792171000000002,9.68405,15.681420999999999,9.438653,15.072510000000001,9.991104,28.148773,51.827736,48.279961,15.088312,33.565598,24.089634,,,,
49,2009-04-01,,,,,,,,65.29744000000001,22.359591,,443.59552,,8.313089999999999,21996.017578,10.09479,55.311606999999995,,,,10.466256,,60.500599,,,,16.238526999999998,35.764439,27.472790000000003,,21.54915,22.188431,13.809675,,,,,,,,41.617371,25.149525,11.57883,37.309616,,15.80851,10.657716,18.128817,11.944651,18.111176999999998,11.900889999999999,32.121441,61.46143000000001,52.816216000000004,18.842827,36.376121999999995,28.004609999999996,,,,
50,2009-05-01,,,,,,,,59.156490000000005,27.416465999999996,,342.606323,,10.449492999999999,14619.530272999998,12.305271000000001,66.66819,,,,12.610161,,68.953079,,,,18.25967,42.216454,32.303272,,25.075928,24.946728,18.691021,,,,,,,,46.993107,29.800240999999996,13.878735,41.464363,,16.726124,12.275481,21.074747,14.039081,19.300625,13.1145,37.757236,72.439346,60.237759,21.996889000000003,41.064186,32.786983,,,,
51,2009-06-01,12.433247,,,,,,,61.389561,24.172771,,373.480743,,9.38856,16450.677734,11.946166,58.713974,,,,11.189939,,64.926819,,,,17.588528,37.534866,29.415577000000003,,23.384903,23.303141,18.036013,,,,,,,,44.533359999999995,27.353525,13.006357000000001,41.879829,,16.753386,11.129226,19.977954999999998,12.465972,19.105476,13.02042,34.170821999999994,71.244476,56.078182,19.694777,38.179848,28.785038,,,,
52,2009-07-01,13.978338,,,,,,,58.229362,26.363033,,333.84201,,10.043572,13715.077147999998,12.234115,65.059563,,,,12.356494999999999,,66.393341,,,,18.1073,41.189438,31.384127000000003,,24.549685,24.601463,21.498179999999998,,,,,,,,45.207806,29.013412,14.001810999999998,43.707916,,18.497463,12.019423,21.633154,13.492801,20.729254,13.876534,37.021111,73.7836,59.18783199999999,21.433783,40.427464,31.758438,,,,
53,2009-08-01,13.269941000000001,,,,,,,57.62125,26.518321999999998,,324.878479,,10.139227,12995.960938,12.234115,66.582237,,,,12.592029,,63.75360500000001,,,,16.401258,41.81102,32.489826,,24.880608,24.764875,21.404608,,,,,,,,45.862415000000006,29.557932,13.684391,40.965790000000005,,19.428272,11.970563,21.44235,14.014926,20.413059,13.434364000000002,37.404213,63.627136,59.901134,22.10557,40.866734,32.02219,,,,
