,Date,ANGL,CJNK,GHYG,HYGH,HYHG,HYIH,HYLD,HYLS,HYND,HYS,HYZD,JNK,PGHY,PHB,RIGS,SHYG,SJB,SJNK,UJB,WBII
114,2014-09-01,21.400093,21.651722,41.884151,96.83000200000001,59.920338,,50.130001,39.548640999999996,18.869917,82.185867,24.530001000000002,30.620523,18.885042000000002,15.642261999999999,20.589292999999998,38.711009999999995,27.727459000000003,23.123549,51.312626,22.488844
115,2014-10-01,21.388668,21.978323,42.09581,97.099998,59.976856000000005,,47.509997999999996,40.203472,18.637138,82.988945,24.67,30.897249,18.99107,15.811724,20.833548999999998,39.053173,27.321448999999998,23.232454,52.68235,22.699898
116,2014-11-01,21.322035,21.863508,41.355740000000004,95.620003,58.616604,,45.049999,40.1339,18.296968,82.445839,24.34,30.445868,18.930706,15.651069,20.844093,38.856884,27.61853,23.001532,51.441101,22.900454999999997
117,2014-12-01,20.359573,21.674554999999998,40.569996,93.670998,57.937968999999995,,41.150002,39.294781,17.788389000000002,80.784508,23.08,29.839344,18.52816,15.600638,20.762495,38.42812,27.717556,22.631126000000002,50.190979,22.90958
118,2015-01-01,21.252751999999997,22.234644,40.701168,92.900002,57.0896,,40.98,39.349262,17.181423000000002,81.867836,23.77,30.381702,18.491460999999997,15.642078,20.973606,38.809921,27.479891,22.881885999999998,50.965763,23.040723999999997
119,2015-02-01,21.786655,22.410912,42.110886,95.199997,59.370636,,42.459998999999996,40.629807,18.027025,83.374687,24.190001000000002,31.037084999999998,18.728634,16.009695,21.337006,39.383949,26.786704999999998,23.300362,52.865551,23.337023000000002
120,2015-03-01,21.918798000000002,22.270832000000002,40.692944,93.626999,58.569412,19.637532999999998,41.389998999999996,40.686974,17.854088,83.09569499999999,23.940001000000002,30.744783,18.663511,15.91686,21.246244,39.307301,26.974854999999998,23.128107,51.445152,22.98451
121,2015-04-01,22.314411,22.185913,41.773129,93.910004,59.257732,19.661512,41.73,41.067062,18.173523,83.505386,23.809998999999998,31.064621000000002,19.106237,16.042463,21.392128,39.579777,26.737191999999997,23.349115,55.712154000000005,23.221266
122,2015-05-01,22.367611,22.142248000000002,41.75927,93.989998,59.424911,19.725448999999998,41.470001,41.034714,18.460623000000002,83.965141,24.190001000000002,31.198887,19.0711,16.023966,21.420956,39.778484000000006,26.618361,23.398885999999997,53.69471,23.4888
123,2015-06-01,22.043264,21.813979999999997,41.234383,91.029999,58.546463,19.519281,40.599998,40.612015,18.599672,82.65639499999999,23.77,30.561375,19.067438,15.827679999999999,21.212069,39.389896,27.073883000000002,23.203014000000003,50.855976,23.368526
