,Date,ARKK,ARKW,CIBR,CQQQ,EMQQ,FDN,FTEC,FXL,HACK,IEUS,IGM,IGN,IGV,IPAY,ISRA,ITEQ,IXN,IYW,JHMT,KWEB,PNQI,PSCT,PSI,PSJ,PTF,PXQ,QQQ,QTEC,REW,ROBO,ROM,RYT,SCID,SKYY,SMH,SOCL,SOXL,SOXS,SOXX,SSG,TDIV,TECL,TECS,USD,VGT,XLK,XNTK,XSD,XSW,XT
666,2017-12-11,36.777893,41.819996,22.933977,58.363533,37.181903999999996,110.699997,49.706913,51.08725,31.586525,54.244106,169.058243,48.320351,157.245804,34.430862,29.424688,31.561733,152.967361,162.906143,41.030243,54.708637,115.803001,76.650848,50.338703,65.199997,53.014472999999995,45.85672,155.719452,71.998566,16.042421,40.225513,89.656929,141.994995,25.533479999999997,45.436015999999995,96.01037600000001,32.856239,136.035492,16.489452,167.026566,21.029013,33.984726,115.33166499999999,33.116524,39.918343,163.60881,63.197979000000004,64.223892,69.31845899999999,69.462242,34.737373
667,2017-12-18,36.108334,40.815628000000004,23.045713,60.277893000000006,38.133003,110.209999,49.751575,51.604591,31.706396,54.927818,168.621689,48.459221,154.709732,34.480503000000006,29.375840999999998,31.581566,152.553223,162.698685,41.030243,56.572941,116.69279499999999,76.561386,50.844574,63.740002000000004,52.754645999999994,46.300495,155.44288600000002,71.92942,16.062235,41.181602000000005,89.856018,142.45683300000002,25.946904999999997,45.465683,95.923317,33.4771,142.434708,15.668443,169.446365,20.07855,34.081059,114.904556,33.165946999999996,41.420466999999995,163.924576,63.413963,64.754791,70.00012199999999,69.292633,34.894779
668,2017-12-25,35.467471999999994,39.889179,23.080605,59.512145999999994,37.706989,109.879997,49.278221,51.057404,31.606503000000004,56.2827,167.69191,48.166927,154.33033799999998,34.639355,30.148369,31.361434999999997,152.314774,161.094635,40.536621000000004,56.647614000000004,115.709999,76.127014,50.098484,63.5,52.66470699999999,45.629906,154.17434699999998,71.254868,16.309959,41.151726000000004,87.357529,141.339645,24.913342,45.366795,95.967201,32.471897,136.504059,16.321293,167.342224,20.55378,34.095009000000005,111.522957,34.105076000000004,40.343288,162.337967,62.834263,64.013908,69.001823,69.23281899999999,34.961582
669,2018-01-01,38.270363,42.999638,23.689301,64.21862800000001,40.630001,114.010002,51.299839,53.455073999999996,32.689479999999996,58.024204000000005,174.80531299999998,49.071045,160.80029299999998,36.048565,31.061655,32.674225,158.797531,167.71575900000002,42.330273,61.26756700000001,121.550003,78.606827,53.006919999999994,65.68,54.223659999999995,46.911915,160.271652,74.523438,15.110991,43.243671,94.856308,147.518814,27.009932,46.66214,101.02999100000001,34.720001,160.686752,13.729671,176.881577,18.910269,34.995810999999996,124.40819499999999,30.595715000000002,43.834919,169.00964399999998,65.14325699999999,67.252411,73.04447900000001,71.007515,36.152508000000005
670,2018-01-08,38.473824,43.370628,24.148321,64.985268,40.91,116.43,51.911255,54.788216000000006,33.358852,58.792805,177.497696,50.193752,165.003738,36.634479999999996,31.716836999999998,33.098929999999996,159.362534,169.21022,42.845531,61.934467000000005,123.769997,79.772026,52.64957,67.510002,55.043114,47.898087,162.81549099999998,75.137527,14.883087,44.449036,96.778748,149.832291,27.265009000000003,47.32465,100.421669,34.900002,158.82578999999998,13.818696,176.388855,19.167686,35.199226,127.003143,29.903728000000005,43.158558,170.911606,65.644356,67.76416,74.17128000000001,73.061356,36.665588
671,2018-01-15,38.696663,43.556126,24.128365,64.995224,41.419998,116.940002,52.700176,55.7831,33.189014,59.181965000000005,179.772797,49.945370000000004,166.731064,37.319702,31.508369000000002,32.999233000000004,162.504776,171.486557,43.420238,62.929977,124.18,80.96710999999999,54.72419,67.790001,56.15237,47.799469,164.646652,76.781723,14.526367,45.6544,99.08964499999999,152.234726,27.746824,47.383976000000004,104.758392,35.049999,177.296906,12.285483000000001,183.10974099999999,17.821196,35.799759,132.371994,28.519754,46.137856,173.454147,66.617088,69.10844399999999,73.914299,73.779213,37.010929
672,2018-01-22,40.740978000000005,45.296248999999996,24.597359,66.568336,43.5,122.41999799999999,53.637028,56.260643,33.658573,60.388371,184.889313,49.915565,170.77478,38.253189,31.945158000000003,33.363125,165.409119,174.762482,44.291222,66.051826,131.33999599999999,79.274078,54.42639499999999,69.290001,57.271622,48.69688,169.189896,77.782097,13.912020000000002,45.943287,102.964378,154.904129,27.956553000000003,49.361599,105.89653799999999,36.220001,179.296448,11.939273,184.243027,17.207355,36.555279,140.33578500000002,26.839212,47.833714,176.587982,67.98284100000001,71.399834,73.775909,75.19497700000001,38.007492
673,2018-01-29,38.561023999999996,43.291129999999995,23.858938000000002,61.261585,40.130001,119.730003,51.516788,54.11169399999999,32.729439,58.199329000000006,178.98793,50.263298,166.002182,36.76358,31.121215999999997,32.370159,158.054092,167.547501,42.766258,60.426697,127.970001,76.505463,51.458401,67.150002,55.163036,47.266937,162.93425,74.285713,15.02181,44.150185,94.388161,149.871826,27.236667999999998,47.888271,100.97112299999999,35.32,155.44041399999998,13.591185999999999,176.0242,19.068678,35.053932,124.04033700000001,29.953153999999998,42.723045,169.561523,65.32012900000001,68.29117600000001,69.74314100000001,72.971626,36.626118
674,2018-02-05,37.175537,41.780666,22.97084,56.880779000000004,37.139998999999996,115.389999,49.179604,51.525002,31.690410999999997,55.241688,170.23526,48.763054,158.89325,34.648331,29.334351,30.805933000000003,150.817993,160.174179,40.992588,56.560627000000004,121.050003,72.89031999999999,48.341518,63.830002,53.174366000000006,45.639763,154.51088000000001,70.571434,16.260416,40.822983,85.871712,142.466721,25.829014,45.238251,95.898521,34.84,132.089218,15.114507000000001,167.628036,19.860733,33.320122,106.412605,33.462521,39.156475,162.199966,62.421589000000004,65.243622,65.552223,70.28965,34.761265
675,2018-02-12,39.781799,45.163754,24.65723,62.506130000000006,41.110001000000004,121.989998,52.157795,54.39025899999999,33.828415,57.878268999999996,180.835831,51.127678,169.157288,36.733788,30.525595000000003,32.421001000000004,160.51236,169.972305,43.227016,62.069778,129.229996,76.744469,51.240021,68.559998,56.73198299999999,48.756046000000005,163.280701,75.127625,14.3381,42.705738000000004,96.509804,150.929703,27.019378999999997,47.858612,100.853378,37.450001,151.906555,12.977901,176.10304299999999,18.078613,35.315459999999995,125.16381100000001,28.223186,43.254242,171.818268,66.00790400000001,69.2994,67.93433399999999,75.055389,36.46825
