,Date,AIRR,CGW,CHII,EDOM,EVX,EXI,FIDU,FIW,FXR,IEV,ITA,IYJ,IYT,JETS,PHO,PIO,PPA,PSCI,RGI,SEA,SIJ,UXI,VIS,XAR,XLI,XTN,_PRN
647,2017-07-31,23.593689,32.363853000000006,14.288591,27.899340000000002,,84.29806500000001,34.092026000000004,42.848846,35.30941,44.279213,165.197525,130.842148,164.151672,29.910509,27.148363,23.57439,48.025028000000006,55.439312,106.092445,11.605091,20.878263,59.09881600000001,125.744904,73.59871700000001,66.52879300000001,54.353664,54.811459
648,2017-08-07,23.016535,31.815477,13.917088,27.293362,,82.95503199999999,33.530113,41.917995,34.737518,43.238258,164.54838600000002,128.892654,162.549744,29.005466,26.591675,23.193686,47.906593,53.953269999999996,103.837448,11.208174,21.156374,57.56081,123.64948999999999,73.096581,65.543625,54.452454,54.146172
649,2017-08-14,22.509039,31.584584999999997,14.250489000000002,27.451157000000002,,82.651123,33.161968,41.571407,34.224785,43.218983,162.886185,127.82483700000002,160.957657,28.319588,26.462446000000003,23.086306,47.472332,52.853595999999996,102.753883,10.971914,21.653004,56.62809,122.16523000000001,72.141518,64.857849,53.33614300000001,53.729130000000005
650,2017-08-21,22.718007999999998,32.007889,14.345745999999998,27.637901,,83.004036,33.3848,41.848671,34.333248,43.749096,164.233643,128.745697,161.625977,28.227615000000004,26.512152,23.349871,47.837505,52.86350600000001,103.193169,11.293227,21.325228,57.193676,122.766701,72.820885,65.195908,53.770813000000004,53.957508
651,2017-08-28,23.733006,32.248405,14.469581,27.647238,,83.90593,34.062954,42.541862,35.013603,43.922588,167.69574,131.185059,165.733917,28.266752,27.009192,23.613436,48.804718,54.745823,105.116272,11.189273,20.500823999999998,59.436176,125.172554,74.760551,66.18109100000001,56.299808999999996,55.824276
652,2017-09-04,23.6733,32.662094,14.479106,27.964703000000004,,84.23925,33.859512,42.957783,34.915001000000004,44.356322999999996,165.29586799999998,130.714798,166.39238,27.811783000000002,27.317353999999998,23.857479,48.301373,54.80526700000001,105.272453,11.038067,20.778935999999998,58.910278000000005,124.561378,73.75625600000001,65.939621,56.951817000000005,55.81434599999999
653,2017-09-11,24.449472,32.950714000000005,15.203062,28.254152,,85.572487,34.382656,43.641056,35.684101,44.790058,168.217041,133.183517,165.104965,28.570065999999997,27.60564,24.023428,49.021843,56.162518000000006,106.561035,11.075869,20.778935999999998,60.785641000000005,127.161278,74.62269599999999,67.021385,56.803631,56.221458
654,2017-09-18,25.056479,33.191231,15.136382000000001,28.604296,,86.81750500000001,35.399708000000004,44.878895,36.325012,45.088848,174.92486599999998,135.78938300000002,172.072784,28.765751,28.331315999999998,23.974617000000002,50.354233,57.955684999999995,109.04324299999999,11.245975999999999,19.666489000000002,62.968608999999994,129.867859,78.52246099999999,68.647446,58.341648,57.125053
655,2017-09-25,25.941361999999998,33.114262,15.069701,28.641640000000002,,87.15080999999999,35.604328,44.939003,36.664963,45.175594,175.111725,135.72081,175.345383,28.998617,28.352758,24.355999,50.876785,60.403670999999996,110.09220900000001,11.198725,19.179794,63.712803,130.246185,78.898155,68.890022,59.410503000000006,57.87019
656,2017-10-02,26.220303,33.460606,15.460256,28.501666999999998,,87.591957,36.023315000000004,45.930592,37.346508,45.059929,179.744949,138.144104,175.130203,30.380156,28.929762,24.375560999999998,52.03735,61.068214000000005,111.62152900000001,11.193249,18.554041,65.593307,132.55238300000002,81.04364,69.802086,59.756886,58.887558
